INPUT-#Scan#	INPUT-SpectrumID	INPUT-Compound_Name	INPUT-InChIKey-Planar	Tag_Status1	Action1	Add_InCHIKey-Planar	Cannot_Add_InChIKey-Planar	Tag_Status2	Action2	Add_Tag1	Add_Tag2	Add_Tag3	Contribute-NCBITaxonomy1	Contribute-NCBITaxonomy2	Contribute-NCBITaxonomy3	Contribute-UBERONTag1	Contribute-UBERONTag2	Contribute-UBERONTag3	Contribute-LifestyleTag1	Contribute-LifestyleTag2	Contribute-LifestyleTag3	Current_Tags	Current_NCBITaxonomy	Current_UBERON	Current_Lifestyle
1124918	CCMSLIB00003137658	Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phospho-(1'-myo-inositol) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1125477	CCMSLIB00005435454	glycochenodeoxycholic acid	GHCZAUBVMUEKKP	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|drug|naturalproduct		bile|blood|feces|urine	|drug or medication use
1125487	CCMSLIB00005435454	glycochenodeoxycholic acid	GHCZAUBVMUEKKP	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|drug|naturalproduct		bile|blood|feces|urine	|drug or medication use
1125662	CCMSLIB00005435530	glycohyodeoxycholic acid	SPOIYSFQOFYOFZ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
1127280	CCMSLIB00005435455	glycochenodeoxycholic acid	GHCZAUBVMUEKKP	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|drug|naturalproduct		bile|blood|feces|urine	|drug or medication use
1127700	CCMSLIB00004706854	(2S,3S,4S,5R,6R)-6-[[(3S,6aR,6bS,8aR,14bR)-9-hydroxy-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid	ISTWCKNDZOSMPU	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
1128133	CCMSLIB00005435527	glycohyocholic acid	ZQYUKJFJPJDMMR	Tags Missing	Add Tags																				
1128801	CCMSLIB00004706806	(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8aR,9R,12aS,14bR)-9-hydroxy-4-(hydroxymethyl)-4,6a,6b,8a,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[(2S,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid	PTDAHAWQAGSZDD	Tags Present	Check Current Tags and Add if Incomplete																	food|plant|human|blank_culturemedia|naturalproduct	9606|Homo sapiens	feces	food consumption_soy|food consumption
1130262	CCMSLIB00005435591	taurolithocholic acid	QBYUNVOYXHFVKC	Tags Present	Check Current Tags and Add if Incomplete																	food|human|naturalproduct	9606|Homo sapiens		food consumption
1132503	CCMSLIB00005435586	taurohyodeoxycholic acid	HMXPOCDLAFAFNT	Tags Missing	Add Tags																				
1132652	CCMSLIB00004714987	(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	FBFMBWCLBGQEBU	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
1133766	CCMSLIB00005435565	taurocholic acid	WBWWGRHZICKQGZ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct		bile|blood|feces|saliva|urine	food consumption
1134223	CCMSLIB00005435566	taurocholic acid	WBWWGRHZICKQGZ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct		bile|blood|feces|saliva|urine	food consumption
114941	CCMSLIB00003138383	Spectral Match to Myristoleic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
11611	CCMSLIB00003135918	Spectral Match to 5.alpha.-Androsterone from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
119125	CCMSLIB00003136910	Spectral Match to Myristoleic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
119127	CCMSLIB00003136910	Spectral Match to Myristoleic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
119134	CCMSLIB00003136910	Spectral Match to Myristoleic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
119302	CCMSLIB00004702812	AZELAIC ACID	BDJRBEYXGGNYIS	Tags Present	Check Current Tags and Add if Incomplete																	environmental|personalcareproduct|naturalproduct		blood|cerebrospinal fluid|feces|milk|saliva|sweat|urine	personal care products|food consumption
119530	CCMSLIB00004702432	MUCIC ACID	DSLZVSRJTYRBFB	Tags Present	Check Current Tags and Add if Incomplete																	animal|human|bacterial|fungal|food			food consumption
120127	CCMSLIB00004702431	MUCIC ACID	DSLZVSRJTYRBFB	Tags Present	Check Current Tags and Add if Incomplete																	animal|human|bacterial|fungal|food			food consumption
120227	CCMSLIB00004702431	MUCIC ACID	DSLZVSRJTYRBFB	Tags Present	Check Current Tags and Add if Incomplete																	animal|human|bacterial|fungal|food			food consumption
120254	CCMSLIB00004702432	MUCIC ACID	DSLZVSRJTYRBFB	Tags Present	Check Current Tags and Add if Incomplete																	animal|human|bacterial|fungal|food			food consumption
120255	CCMSLIB00004702432	MUCIC ACID	DSLZVSRJTYRBFB	Tags Present	Check Current Tags and Add if Incomplete																	animal|human|bacterial|fungal|food			food consumption
120263	CCMSLIB00004702431	MUCIC ACID	DSLZVSRJTYRBFB	Tags Present	Check Current Tags and Add if Incomplete																	animal|human|bacterial|fungal|food			food consumption
120405	CCMSLIB00004702433	MUCIC ACID	DSLZVSRJTYRBFB	Tags Present	Check Current Tags and Add if Incomplete																	animal|human|bacterial|fungal|food			food consumption
121249	CCMSLIB00003139626	Spectral Match to PyroGlu-Val from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
121350	CCMSLIB00003139626	Spectral Match to PyroGlu-Val from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
121525	CCMSLIB00003138780	Spectral Match to Ile-Pro from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
121543	CCMSLIB00003137110	Spectral Match to Sumaresinolic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
122111	CCMSLIB00003137659	Spectral Match to Leu-Pro from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
122135	CCMSLIB00003138780	Spectral Match to Ile-Pro from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
122138	CCMSLIB00003138780	Spectral Match to Ile-Pro from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
12573	CCMSLIB00005464134	L-CARNITINE	PHIQHXFUZVPYII	Tags Present	Check Current Tags and Add if Incomplete																	animal|plant|bacterial|food|human		blood|cerebrospinal fluid|feces|milk|saliva|urine	food consumption
129893	CCMSLIB00003137308	Spectral Match to Leu-Val from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
129971	CCMSLIB00003138139	Spectral Match to Leu-Val from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
129973	CCMSLIB00003134815	Spectral Match to Val-Ile from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
130279	CCMSLIB00003136637	Spectral Match to Val-Leu from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
130461	CCMSLIB00003134869	Spectral Match to 4,4-Dimethylcholest-8(9),24-dien-3.beta.-ol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
130476	CCMSLIB00000573097	MoNA:3475533 Dehydrocostus lactone	NETSQGRTUNRXEO	Tags Present	Check Current Tags and Add if Incomplete																	plant|naturalproduct_plant|naturalproduct			
130793	CCMSLIB00000209413	Massbank:EA103811 4-Formylaminoantipyrine|N-(1,5-dimethyl-3-oxidanylidene-2-phenyl-pyrazol-4-yl)methanamide	WSJBSKRPKADYRQ	Tags Missing	Add Tags																				
133896	CCMSLIB00003136811	Spectral Match to Thr-Leu from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
133971	CCMSLIB00005770552	Massbank:NA003094 (+)-Costunolide|Costunolide|(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one	HRYLQFBHBWLLLL	Tags Present	Check Current Tags and Add if Incomplete																	food|plant|naturalproduct_plant|naturalproduct		feces	|food consumption
133972	CCMSLIB00005770552	Massbank:NA003094 (+)-Costunolide|Costunolide|(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one	HRYLQFBHBWLLLL	Tags Present	Check Current Tags and Add if Incomplete																	food|plant|naturalproduct_plant|naturalproduct		feces	|food consumption
134009	CCMSLIB00005768680	Massbank:NA003095 (+)-Costunolide|Costunolide|(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one	HRYLQFBHBWLLLL	Tags Present	Check Current Tags and Add if Incomplete																	food|plant|naturalproduct_plant|naturalproduct		feces	|food consumption
134453	CCMSLIB00005770552	Massbank:NA003094 (+)-Costunolide|Costunolide|(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one	HRYLQFBHBWLLLL	Tags Present	Check Current Tags and Add if Incomplete																	food|plant|naturalproduct_plant|naturalproduct		feces	|food consumption
135071	CCMSLIB00003140084	Spectral Match to Thr-Leu from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
135073	CCMSLIB00003140084	Spectral Match to Thr-Leu from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
135076	CCMSLIB00003137578	Spectral Match to Thr-Ile from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
135078	CCMSLIB00003137578	Spectral Match to Thr-Ile from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
135108	CCMSLIB00005770358	Massbank:NA002716 (+)-Costunolide|Costunolide|(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one	HRYLQFBHBWLLLL	Tags Present	Check Current Tags and Add if Incomplete																	food|plant|naturalproduct_plant|naturalproduct		feces	|food consumption
135117	CCMSLIB00005767780	Massbank:NA002717 (+)-Costunolide|Costunolide|(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one	HRYLQFBHBWLLLL	Tags Present	Check Current Tags and Add if Incomplete																	food|plant|naturalproduct_plant|naturalproduct		feces	|food consumption
13607	CCMSLIB00005760851	Massbank:LU088303 4-(4-Hydroxyphenyl)butan-2-one|4-(4-Hydroxyphenyl)-2-butanone	NJGBTKGETPDVIK	Tags Missing	Add Tags																				
13615	CCMSLIB00003135839	Spectral Match to .alpha.-CMBHC from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
13672	CCMSLIB00003135371	Spectral Match to DL-Phenylalanine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
137023	CCMSLIB00005463870	Lidocaine	NNJVILVZKWQKPM	Tags Present	Check Current Tags and Add if Incomplete																	drug|synthetic		blood|feces|urine	|drug or medication use
137508	CCMSLIB00005463870	Lidocaine	NNJVILVZKWQKPM	Tags Present	Check Current Tags and Add if Incomplete																	drug|synthetic		blood|feces|urine	|drug or medication use
13756	CCMSLIB00005434467	Ciprofloxacin - Dark Web Drugs	MYSWGUAQZAJSOK	Tags Present	Check Current Tags and Add if Incomplete																	biocide_antimicrobial|drug|synthetic|naturalproduct		blood|urine|feces	|drug or medication use|biocide exposure|bacterial infectious disease
13763	CCMSLIB00005434467	Ciprofloxacin - Dark Web Drugs	MYSWGUAQZAJSOK	Tags Present	Check Current Tags and Add if Incomplete																	biocide_antimicrobial|drug|synthetic|naturalproduct		blood|urine|feces	|drug or medication use|biocide exposure|bacterial infectious disease
13771	CCMSLIB00005434467	Ciprofloxacin - Dark Web Drugs	MYSWGUAQZAJSOK	Tags Present	Check Current Tags and Add if Incomplete																	biocide_antimicrobial|drug|synthetic|naturalproduct		blood|urine|feces	|drug or medication use|biocide exposure|bacterial infectious disease
13775	CCMSLIB00005434467	Ciprofloxacin - Dark Web Drugs	MYSWGUAQZAJSOK	Tags Present	Check Current Tags and Add if Incomplete																	biocide_antimicrobial|drug|synthetic|naturalproduct		blood|urine|feces	|drug or medication use|biocide exposure|bacterial infectious disease
13822	CCMSLIB00005434467	Ciprofloxacin - Dark Web Drugs	MYSWGUAQZAJSOK	Tags Present	Check Current Tags and Add if Incomplete																	biocide_antimicrobial|drug|synthetic|naturalproduct		blood|urine|feces	|drug or medication use|biocide exposure|bacterial infectious disease
139874	CCMSLIB00005463870	Lidocaine	NNJVILVZKWQKPM	Tags Present	Check Current Tags and Add if Incomplete																	drug|synthetic		blood|feces|urine	|drug or medication use
143510	CCMSLIB00003135779	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144398	CCMSLIB00003137434	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144504	CCMSLIB00003136495	Spectral Match to Palmitelaidic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144737	CCMSLIB00003137434	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144743	CCMSLIB00003137000	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144748	CCMSLIB00003135779	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144749	CCMSLIB00003137192	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144752	CCMSLIB00003137192	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144756	CCMSLIB00003135779	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144757	CCMSLIB00003135779	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144758	CCMSLIB00003137560	Spectral Match to Palmitelaidic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144759	CCMSLIB00003137192	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144760	CCMSLIB00003136495	Spectral Match to Palmitelaidic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144764	CCMSLIB00003135779	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144771	CCMSLIB00003137000	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144790	CCMSLIB00003137099	Spectral Match to Palmitelaidic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144796	CCMSLIB00003137192	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144799	CCMSLIB00003137192	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144879	CCMSLIB00003137560	Spectral Match to Palmitelaidic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144902	CCMSLIB00003137192	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
144903	CCMSLIB00003137434	Spectral Match to cis-9-Hexadecenoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
14689	CCMSLIB00005463584	PYRIDOXAL	RADKZDMFGJYCBB	Tags Present	Check Current Tags and Add if Incomplete																	drug|vitamin|bacterial|human|animal|fungal			
14705	CCMSLIB00003135107	Spectral Match to Perillaldehyde from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
14710	CCMSLIB00005464123	URATE	LEHOTFFKMJEONL	Tags Present	Check Current Tags and Add if Incomplete																	animal|plant|bacterial|food|human			food consumption
148023	CCMSLIB00003139366	Spectral Match to CMPF from METLIN	WMCQWXZMVIETAO	Tags Missing	Add Tags																				
14931	CCMSLIB00004694421	ADONITOL	HEBKCHPVOIAQTA	Tags Present	Check Current Tags and Add if Incomplete																	food|naturalproduct			food consumption
150088	CCMSLIB00004705551	3-Hydroxyflavone	HVQAJTFOCKOKIN	Tags Present	Check Current Tags and Add if Incomplete																	food|human|naturalproduct	9606|Homo sapiens		food consumption
150198	CCMSLIB00004705551	3-Hydroxyflavone	HVQAJTFOCKOKIN	Tags Present	Check Current Tags and Add if Incomplete																	food|human|naturalproduct	9606|Homo sapiens		food consumption
150310	CCMSLIB00004705551	3-Hydroxyflavone	HVQAJTFOCKOKIN	Tags Present	Check Current Tags and Add if Incomplete																	food|human|naturalproduct	9606|Homo sapiens		food consumption
